From	Entry	Entry Name	STRING
4932.YHR165C	P33334	PRP8_YEAST	4932.YHR165C;
4932.YJL130C	P07259	PYR1_YEAST	4932.YJL130C;
4932.YLR106C	Q12019	MDN1_YEAST	4932.YLR106C;
4932.YKR054C	P36022	DYHC_YEAST	4932.YKR054C;
4932.YNR016C	Q00955	ACAC_YEAST	4932.YNR016C;
4932.YKL203C	P32600	TOR2_YEAST	4932.YKL203C;
4932.YJR066W	P35169	TOR1_YEAST	4932.YJR066W;
4932.YMR207C	P32874	HFA1_YEAST	4932.YMR207C;
4932.YGL206C	P22137	CLH_YEAST	4932.YGL206C;
4932.YNL262W	P21951	DPOE_YEAST	4932.YNL262W;
4932.YGR271W	P53327	ASCC3_YEAST	4932.YGR271W;
4932.YER172C	P32639	BRR2_YEAST	4932.YER172C;
4932.YOR151C	P08518	RPB2_YEAST	4932.YOR151C;
4932.YOR207C	P22276	RPC2_YEAST	4932.YOR207C;
4932.YOR116C	P04051	RPC1_YEAST	4932.YOR116C;
4932.YHR099W	P38811	TRA1_YEAST	4932.YHR099W;
4932.YGL062W	P11154	PYC1_YEAST	4932.YGL062W;
4932.YBR218C	P32327	PYC2_YEAST	4932.YBR218C;
4932.YKL215C	P28273	OPLA_YEAST	4932.YKL215C;
4932.YBL076C	P09436	SYIC_YEAST	4932.YBL076C;
4932.YDR385W	P32324	EF2_YEAST	4932.YDR385W;
4932.YDL126C	P25694	CDC48_YEAST	4932.YDL126C;
4932.YPL082C	P32333	BTAF1_YEAST	4932.YPL082C;
4932.YNL132W	P53914	NAT10_YEAST	4932.YNL132W;
4932.YJR109C	P03965	CARB_YEAST	4932.YJR109C;
4932.YIL066C	P21672	RIR3_YEAST	4932.YIL066C;
4932.YER070W	P21524	RIR1_YEAST	4932.YER070W;
4932.YOR341W	P10964	RPA1_YEAST	4932.YOR341W;
4932.YJL050W	P47047	MTR4_YEAST	4932.YJL050W;
4932.YDR135C	P39109	YCFI_YEAST	4932.YDR135C;
4932.YKL210W	P22515	UBA1_YEAST	4932.YKL210W;
4932.YNL088W	P06786	TOP2_YEAST	4932.YNL088W;
4932.YGR204W	P07245	C1TC_YEAST	4932.YGR204W;
4932.YLR304C	P19414	ACON_YEAST	4932.YLR304C;
4932.YBR084W	P09440	C1TM_YEAST	4932.YBR084W;
4932.YDL145C	P53622	COPA_YEAST	4932.YDL145C;
4932.YGR218W	P30822	XPO1_YEAST	4932.YGR218W;
4932.YMR189W	P49095	GCSP_YEAST	4932.YMR189W;
4932.YGR094W	P07806	SYV_YEAST	4932.YGR094W;
4932.YGL195W	P33892	GCN1_YEAST	4932.YGL195W;
4932.YDL102W	P15436	DPOD_YEAST	4932.YDL102W;
4932.YAL026C	P39524	ATC3_YEAST	4932.YAL026C;
4932.YIL048W	P40527	ATC7_YEAST	4932.YIL048W;
4932.YAL005C	P10591	HSP71_YEAST	4932.YAL005C;
4932.YLL024C	P10592	HSP72_YEAST	4932.YLL024C;
4932.YER103W	P22202	HSP74_YEAST	4932.YER103W;
4932.YBL075C	P09435	HSP73_YEAST	4932.YBL075C;
4932.YOR304W	Q08773	ISW2_YEAST	4932.YOR304W;
4932.YMR080C	P30771	RENT1_YEAST	4932.YMR080C;
4932.YER013W	P24384	PRP22_YEAST	4932.YER013W;
4932.YPR010C	P22138	RPA2_YEAST	4932.YPR010C;
4932.YOR335C	P40825	SYA_YEAST	4932.YOR335C;
4932.YPR184W	Q06625	GDE_YEAST	4932.YPR184W;
4932.YBR245C	P38144	ISW1_YEAST	4932.YBR245C;
4932.YMR288W	P49955	SF3B1_YEAST	4932.YMR288W;
4932.YPL160W	P26637	SYLC_YEAST	4932.YPL160W;
4932.YGL120C	P53131	PRP43_YEAST	4932.YGL120C;
4932.YPL240C	P02829	HSP82_YEAST	4932.YPL240C;
4932.YMR186W	P15108	HSC82_YEAST	4932.YMR186W;
4932.YDR091C	Q03195	RLI1_YEAST	4932.YDR091C;
4932.YKL148C	Q00711	SDHA_YEAST	4932.YKL148C;
4932.YJR045C	P0CS90	HSP77_YEAST	4932.YJR045C;
4932.YLL015W	P14772	BPT1_YEAST	4932.YLL015W;
4932.YGL167C	P13586	ATC1_YEAST	4932.YGL167C;
4932.YHR074W	P38795	NADE_YEAST	4932.YHR074W;
4932.YOR326W	P19524	MYO2_YEAST	4932.YOR326W;
4932.YIL125W	P20967	ODO1_YEAST	4932.YIL125W;
4932.YJL034W	P16474	BIP_YEAST	4932.YJL034W;
4932.YJL045W	P47052	SDHX_YEAST	4932.YJL045W;
4932.YPL086C	Q02908	ELP3_YEAST	4932.YPL086C;
4932.YEL031W	P39986	SPF1_YEAST	4932.YEL031W;
4932.YER171W	P06839	RAD3_YEAST	4932.YER171W;
4932.YEL030W	P39987	HSP7E_YEAST	4932.YEL030W;
4932.YIL143C	Q00578	RAD25_YEAST	4932.YIL143C;
4932.YJL200C	P39533	ACON2_YEAST	4932.YJL200C;
4932.YOR290C	P22082	SNF2_YEAST	4932.YOR290C;
4932.YIL126W	P32597	STH1_YEAST	4932.YIL126W;
4932.YPL217C	Q08965	BMS1_YEAST	4932.YPL217C;
4932.YMR109W	Q04439	MYO5_YEAST	4932.YMR109W;
4932.YLR069C	P25039	EFGM_YEAST	4932.YLR069C;
4932.YIL078W	P04801	SYTC_YEAST	4932.YIL078W;
4932.YAL029C	P32492	MYO4_YEAST	4932.YAL029C;
4932.YBR127C	P16140	VATB_YEAST	4932.YBR127C;
4932.YKL104C	P14742	GFA1_YEAST	4932.YKL104C;
4932.YGL137W	P41811	COPB2_YEAST	4932.YGL137W;
4932.YBL022C	P36775	LONM_YEAST	4932.YBL022C;
4932.YEL011W	P32775	GLGB_YEAST	4932.YEL011W;
