human_protein,rank,yeast_protein,similarity_score
Q6P2Q9,1,P33334,0.9948743
Q6P2Q9,2,P13517,0.9723151
Q6P2Q9,3,P53886,0.96568316
Q6P2Q9,4,Q03280,0.9640772
Q6P2Q9,5,P38811,0.96171373
Q6P2Q9,6,P34110,0.9595609
Q6P2Q9,7,P38110,0.9591348
Q6P2Q9,8,P34218,0.947922
Q6P2Q9,9,P38164,0.94786054
Q6P2Q9,10,P25655,0.9475077
Q6P2Q9,11,P25356,0.9470399
Q6P2Q9,12,P37297,0.94642514
Q6P2Q9,13,P38111,0.9464059
Q6P2Q9,14,Q04693,0.94382113
Q6P2Q9,15,Q03897,0.94118387
Q6P2Q9,16,Q03407,0.9401758
Q6P2Q9,17,P41833,0.9398652
Q6P2Q9,18,P46151,0.9378612
Q6P2Q9,19,Q00416,0.937678
Q6P2Q9,20,P50077,0.93733156
P27708,1,P32327,0.92422456
P27708,2,P11154,0.92118
P27708,3,P41819,0.91556054
P27708,4,P52489,0.912354
P27708,5,Q03195,0.9115578
P27708,6,P32324,0.91084474
P27708,7,P39729,0.91067344
P27708,8,P38795,0.910388
P27708,9,P07245,0.907694
P27708,10,P21524,0.9062717
P27708,11,P54113,0.9059915
P27708,12,P07259,0.90587157
P27708,13,P39077,0.9057086
P27708,14,P36132,0.90441257
P27708,15,P07244,0.9038186
P27708,16,P21672,0.90258455
P27708,17,P39079,0.9016771
P27708,18,P25453,0.9014147
P27708,19,Q00055,0.9008688
P27708,20,Q12522,0.90078413
Q9NU22,1,Q12019,0.94269866
Q9NU22,2,Q03280,0.93882143
Q9NU22,3,P53886,0.93675673
Q9NU22,4,Q08562,0.9356024
Q9NU22,5,P38110,0.9341447
Q9NU22,6,P37297,0.93253565
Q9NU22,7,Q03897,0.93248457
Q9NU22,8,P33202,0.9322992
Q9NU22,9,Q00416,0.932284
Q9NU22,10,Q12311,0.9304089
Q9NU22,11,P38111,0.93022406
Q9NU22,12,P38811,0.93021214
Q9NU22,13,P32361,0.9279283
Q9NU22,14,P34110,0.92689806
Q9NU22,15,P35194,0.9253328
Q9NU22,16,P38737,0.9239017
Q9NU22,17,P36022,0.9234018
Q9NU22,18,P25655,0.9231261
Q9NU22,19,Q04693,0.922728
Q9NU22,20,P41833,0.92122257
Q14204,1,Q06706,0.97255594
Q14204,2,P32600,0.9681771
Q14204,3,P53622,0.9680451
Q14204,4,Q00955,0.9677641
Q14204,5,P53258,0.96704954
Q14204,6,P32333,0.9666705
Q14204,7,P32492,0.96567434
Q14204,8,P54860,0.9655689
Q14204,9,P35169,0.96325827
Q14204,10,Q07878,0.9631763
Q14204,11,P30822,0.9628201
Q14204,12,Q06698,0.9610775
Q14204,13,Q08204,0.9598323
Q14204,14,P22543,0.95982015
Q14204,15,Q12018,0.9597083
Q14204,16,P41810,0.9594135
Q14204,17,P06103,0.9579747
Q14204,18,P22137,0.95787776
Q14204,19,P33892,0.95732397
Q14204,20,P11075,0.9566018
O00763,1,Q00955,0.9772586
O00763,2,P32874,0.963458
O00763,3,P21951,0.95635796
O00763,4,P32333,0.95467687
O00763,5,P32562,0.95010775
O00763,6,P32863,0.9497827
O00763,7,P53622,0.947705
O00763,8,Q06625,0.9476152
O00763,9,P38086,0.9476151
O00763,10,P32600,0.9474864
O00763,11,Q06685,0.94746727
O00763,12,P14284,0.94722205
O00763,13,P22543,0.94644576
O00763,14,P15801,0.94582933
O00763,15,P33202,0.94450116
O00763,16,Q07878,0.9436565
O00763,17,P35169,0.9435832
O00763,18,P07271,0.943482
O00763,19,Q06706,0.943439
O00763,20,P38859,0.9429981
P42345,1,P32600,0.9850739
P42345,2,P35169,0.9826575
P42345,3,P32333,0.9712859
P42345,4,P33892,0.9707492
P42345,5,P11075,0.9683491
P42345,6,Q06156,0.9665967
P42345,7,P38873,0.9646185
P42345,8,P54860,0.96414924
P42345,9,Q06706,0.9634702
P42345,10,Q12754,0.9625953
P42345,11,P38217,0.9623969
P42345,12,P30822,0.9621579
P42345,13,Q06708,0.9621149
P42345,14,P33202,0.96100664
P42345,15,P53622,0.9606686
P42345,16,P46970,0.96023333
P42345,17,P53258,0.9595325
P42345,18,P27351,0.9591365
P42345,19,Q02932,0.95718235
P42345,20,P19735,0.9570747
Q13085,1,Q00955,0.98433
Q13085,2,P32874,0.9750867
Q13085,3,P21951,0.96557945
Q13085,4,P32333,0.9614531
Q13085,5,P14284,0.95684063
Q13085,6,Q06625,0.9554441
Q13085,7,P32562,0.95512575
Q13085,8,P33760,0.9544899
Q13085,9,P32600,0.95442027
Q13085,10,P32863,0.9541632
Q13085,11,P22543,0.9536754
Q13085,12,P33202,0.9514772
Q13085,13,P38086,0.95083535
Q13085,14,P35169,0.9505568
Q13085,15,P53010,0.9493768
Q13085,16,P30771,0.9491932
Q13085,17,Q04585,0.9491889
Q13085,18,P53258,0.9491123
Q13085,19,P15801,0.9488214
Q13085,20,P53622,0.9487899
Q00610,1,P22137,0.9829863
Q00610,2,P53622,0.9701375
Q00610,3,P30822,0.9688843
Q00610,4,P32337,0.96551293
Q00610,5,P38217,0.964834
Q00610,6,Q06706,0.96327055
Q00610,7,P40069,0.9602892
Q00610,8,P46970,0.9589946
Q00610,9,P41810,0.9578605
Q00610,10,P32600,0.95647985
Q00610,11,P32492,0.95455664
Q00610,12,P41811,0.95339084
Q00610,13,Q12018,0.95291674
Q00610,14,P13045,0.95266736
Q00610,15,Q02932,0.952578
Q00610,16,P32639,0.9512554
Q00610,17,P35169,0.9507458
Q00610,18,P19524,0.9504189
Q00610,19,P36000,0.95011747
Q00610,20,P32074,0.9495279
Q07864,1,P21951,0.9585507
Q07864,2,Q00955,0.9543106
Q07864,3,P14284,0.947341
Q07864,4,P15801,0.94117594
Q07864,5,P32562,0.9411747
Q07864,6,Q06706,0.94109774
Q07864,7,P42837,0.9402009
Q07864,8,P22543,0.9395448
