human_protein,rank,yeast_protein,similarity_score
Q6P2Q9,1,P33334,-0.13612792
Q6P2Q9,2,P13517,-0.30800006
Q6P2Q9,3,P53886,-0.36176747
Q6P2Q9,4,Q03280,-0.37835014
Q6P2Q9,5,P38811,-0.38040555
Q6P2Q9,6,P34110,-0.381751
Q6P2Q9,7,P38110,-0.38632414
Q6P2Q9,8,P25356,-0.4451788
Q6P2Q9,9,P34218,-0.44717517
Q6P2Q9,10,P25655,-0.45701602
Q6P2Q9,11,P38111,-0.46045044
Q6P2Q9,12,P38164,-0.46697056
Q6P2Q9,13,Q04693,-0.4715718
Q6P2Q9,14,P37297,-0.48177037
Q6P2Q9,15,P35194,-0.48577088
Q6P2Q9,16,P34756,-0.49462128
Q6P2Q9,17,P50077,-0.50000155
Q6P2Q9,18,Q03897,-0.5009409
Q6P2Q9,19,Q12311,-0.5181237
Q6P2Q9,20,Q12019,-0.518803
P27708,1,P32327,-0.28321856
P27708,2,P11154,-0.2910178
P27708,3,P52489,-0.29647583
P27708,4,P07244,-0.30399722
P27708,5,P41819,-0.3054057
P27708,6,P07259,-0.3077706
P27708,7,P21524,-0.3082707
P27708,8,P49090,-0.3111498
P27708,9,P07258,-0.31488398
P27708,10,P21672,-0.31490016
P27708,11,P07245,-0.3155821
P27708,12,P46969,-0.31798583
P27708,13,P49089,-0.31854314
P27708,14,P51601,-0.32063442
P27708,15,P54113,-0.32239127
P27708,16,P52920,-0.32327145
P27708,17,P38697,-0.32346684
P27708,18,P36132,-0.32481155
P27708,19,P33298,-0.3251813
P27708,20,P00549,-0.32559034
Q9NU22,1,Q12019,-0.33832812
Q9NU22,2,Q08562,-0.35391194
Q9NU22,3,P33202,-0.36306423
Q9NU22,4,Q00416,-0.36497614
Q9NU22,5,Q03897,-0.36929432
Q9NU22,6,P37297,-0.37143457
Q9NU22,7,P32361,-0.37624344
Q9NU22,8,Q12311,-0.37887576
Q9NU22,9,Q03280,-0.3909232
Q9NU22,10,P41833,-0.391235
Q9NU22,11,Q03407,-0.39188406
Q9NU22,12,P38111,-0.39226145
Q9NU22,13,P36022,-0.39663163
Q9NU22,14,P32644,-0.39745018
Q9NU22,15,P38737,-0.3988432
Q9NU22,16,P46151,-0.39987415
Q9NU22,17,P35169,-0.39989224
