,human_protein,jaccard_similarity
0,A0A087X1C5,0.10526315789473684
1,A0A0B4J2F0,0.07692307692307693
2,A0A0C5B5G6,0.09090909090909091
3,A0A0K2S4Q6,0.0
4,A0A0U1RRE5,0.0
5,A0A1B0GTW7,0.125
6,A0AV02,0.0625
7,A0AV96,0.08333333333333333
8,A0AVF1,0.0
9,A0AVI4,0.1111111111111111
10,A0AVK6,0.12903225806451613
11,A0AVT1,0.2
12,A0FGR8,0.0
13,A0FGR9,0.0
14,A0JLT2,0.11764705882352941
15,A0JNW5,0.0
16,A0JP26,
17,A0M8Q6,0.047619047619047616
18,A0MZ66,0.02702702702702703
19,A0PJK1,0.058823529411764705
20,A0PJY2,0.04
21,A0PK00,0.0
22,A0PK11,0.0
23,A1A4S6,0.05555555555555555
24,A1A4Y4,0.014925373134328358
25,A1A519,0.06666666666666667
26,A1A5B4,0.038461538461538464
27,A1A5C7,0.08333333333333333
28,A1E959,0.08
29,A1KXE4,0.0
30,A1KZ92,0.1111111111111111
31,A1L0T0,0.05
32,A1L167,0.14285714285714285
33,A1L190,0.047619047619047616
34,A1L390,0.0
35,A1L3X0,0.1111111111111111
36,A1L4H1,0.0
37,A1L4K1,0.08333333333333333
38,A1X283,0.034482758620689655
39,A1XBS5,0.13043478260869565
40,A1Z1Q3,0.045454545454545456
41,A2A288,0.10526315789473684
42,A2A2Y4,0.0
43,A2IDD5,0.05555555555555555
44,A2PYH4,0.17647058823529413
45,A2RRP1,0.0
46,A2RTX5,0.23076923076923078
47,A2RU14,0.0
48,A2RU30,0.045454545454545456
49,A2RU49,0.0
50,A2RUB1,0.1
51,A2RUB6,0.0
52,A2RUC4,0.06666666666666667
53,A2RUH7,0.0
54,A2VDJ0,0.06666666666666667
55,A2VEC9,0.0
56,A3KMH1,0.36363636363636365
57,A4D0S4,0.0
58,A4D126,0.0625
59,A4D161,
60,A4D1B5,0.0
61,A4D1E9,0.058823529411764705
62,A4D1P6,0.0
63,A4D1T9,0.05
64,A4D256,0.06451612903225806
65,A4D2B0,0.2857142857142857
66,A4D2B8,0.0
67,A4GXA9,0.05555555555555555
68,A4UGR9,0.0
69,A5A3E0,0.041666666666666664
70,A5D8T8,0.07142857142857142
71,A5D8V6,0.0
72,A5D8V7,0.0
73,A5D8W1,0.05263157894736842
74,A5LHX3,0.1111111111111111
75,A5PKW4,0.0
76,A5PLL7,0.15384615384615385
77,A5X5Y0,0.0
78,A5YKK6,0.08823529411764706
79,A5YM72,0.058823529411764705
80,A6BM72,0.0
81,A6H8Y1,0.0
82,A6H8Z2,
83,A6NC98,0.041666666666666664
84,A6NCS4,0.1724137931034483
85,A6ND01,0.0
86,A6ND36,0.07692307692307693
87,A6NDB9,0.0625
88,A6NDE4,0.05263157894736842
89,A6NDG6,0.045454545454545456
90,A6NDV4,0.3076923076923077
91,A6NED2,0.07692307692307693
92,A6NEM1,
93,A6NFA1,0.0
94,A6NFQ2,0.0
95,A6NFX1,0.05555555555555555
96,A6NFY7,0.07692307692307693
97,A6NGG8,0.0
98,A6NGQ2,0.08
99,A6NGU5,0.0
100,A6NHL2,0.6363636363636364
101,A6NHQ2,0.047619047619047616
102,A6NHR9,0.08695652173913043
103,A6NHX0,0.16666666666666666
104,A6NI15,0.21052631578947367
105,A6NI61,0.0625
106,A6NI73,0.03571428571428571
107,A6NIH7,0.0625
108,A6NIX2,0.043478260869565216
109,A6NJ46,0.19047619047619047
110,A6NJ78,0.07692307692307693
111,A6NK06,0.03125
112,A6NK58,0.06666666666666667
113,A6NK89,0.0625
114,A6NKB5,0.0
115,A6NKF2,0.35714285714285715
116,A6NMZ7,0.0
117,A6NNB3,0.13333333333333333
118,A6NNM8,0.05263157894736842
119,A6NNN8,0.05555555555555555
120,A6NNY8,0.041666666666666664
121,A6NNZ2,0.15789473684210525
122,A6PVC2,0.043478260869565216
123,A7E2V4,0.0
124,A7E2Y1,0.10526315789473684
125,A7KAX9,0.0
126,A7MCY6,0.07142857142857142
127,A7MD48,0.05
128,A7XYQ1,0.05555555555555555
129,A8CG34,0.0
130,A8K0Z3,0.02857142857142857
131,A8K2U0,0.0
132,A8K4G0,0.0
133,A8K7I4,0.0
134,A8K830,0.13333333333333333
135,A8K8P3,0.0
136,A8K8V0,0.25
137,A8MPY1,0.0
138,A8MQ03,0.0
139,A8MQ27,0.0
140,A8MT69,0.08695652173913043
141,A8MTA8,0.0
142,A8MTJ3,0.07407407407407407
143,A8MTJ6,0.21052631578947367
144,A8MTQ0,0.25
145,A8MTZ0,0.047619047619047616
146,A8MU46,0.08333333333333333
147,A8MUP2,0.05555555555555555
148,A8MV65,0.2
149,A8MVW5,0.0
150,A8MW92,0.0625
151,A8MW95,0.0
152,A8MW99,0.0
