From	Entry	Entry Name	Organism	Gene Ontology (GO)	Gene Ontology IDs
4932.YHR165C	P33334	PRP8_YEAST	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	catalytic step 2 spliceosome [GO:0071013]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; Prp19 complex [GO:0000974]; spliceosomal complex [GO:0005681]; U4/U6 x U5 tri-snRNP complex [GO:0046540]; U5 snRNP [GO:0005682]; metallopeptidase activity [GO:0008237]; mRNA binding [GO:0003729]; pre-mRNA intronic binding [GO:0097157]; U1 snRNA binding [GO:0030619]; U2 snRNA binding [GO:0030620]; U5 snRNA binding [GO:0030623]; U6 snRNA binding [GO:0017070]; generation of catalytic spliceosome for second transesterification step [GO:0000350]; mRNA 3'-splice site recognition [GO:0000389]; mRNA 5'-splice site recognition [GO:0000395]; mRNA splicing, via spliceosome [GO:0000398]; spliceosomal snRNP assembly [GO:0000387]; spliceosomal tri-snRNP complex assembly [GO:0000244]	GO:0000244; GO:0000350; GO:0000387; GO:0000389; GO:0000395; GO:0000398; GO:0000974; GO:0003729; GO:0005634; GO:0005681; GO:0005682; GO:0005737; GO:0008237; GO:0017070; GO:0030619; GO:0030620; GO:0030623; GO:0046540; GO:0071013; GO:0097157
4932.YJL130C	P07259	PYR1_YEAST	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; mitochondrion [GO:0005739]; amino acid binding [GO:0016597]; aspartate carbamoyltransferase activity [GO:0004070]; ATP binding [GO:0005524]; carbamoyl-phosphate synthase (ammonia) activity [GO:0004087]; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity [GO:0004088]; glutaminase activity [GO:0004359]; metal ion binding [GO:0046872]; 'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; 'de novo' UMP biosynthetic process [GO:0044205]; glutamine metabolic process [GO:0006541]; negative regulation of pyrimidine nucleobase metabolic process [GO:0045984]	GO:0004070; GO:0004087; GO:0004088; GO:0004359; GO:0005524; GO:0005737; GO:0005739; GO:0005829; GO:0006207; GO:0006541; GO:0016020; GO:0016597; GO:0044205; GO:0045984; GO:0046872
4932.YLR106C	Q12019	MDN1_YEAST	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	mitochondrion [GO:0005739]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; preribosome, large subunit precursor [GO:0030687]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; protein-RNA complex remodeling [GO:0110136]; regulation of ribosomal subunit export from nucleus [GO:2000200]; ribosomal large subunit assembly [GO:0000027]; ribosomal large subunit export from nucleus [GO:0000055]; rRNA processing [GO:0006364]	GO:0000027; GO:0000055; GO:0005524; GO:0005634; GO:0005654; GO:0005730; GO:0005739; GO:0006364; GO:0016887; GO:0030687; GO:0110136; GO:2000200
4932.YKR054C	P36022	DYHC_YEAST	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	astral microtubule [GO:0000235]; cell cortex [GO:0005938]; cytoplasm [GO:0005737]; cytoplasmic dynein complex [GO:0005868]; cytoplasmic microtubule [GO:0005881]; spindle pole body [GO:0005816]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; dynein intermediate chain binding [GO:0045505]; dynein light intermediate chain binding [GO:0051959]; minus-end-directed microtubule motor activity [GO:0008569]; cytoplasmic microtubule organization [GO:0031122]; establishment of mitotic spindle localization [GO:0040001]; establishment of mitotic spindle orientation [GO:0000132]; karyogamy [GO:0000741]; mitotic sister chromatid segregation [GO:0000070]; mitotic spindle organization [GO:0007052]; nuclear migration [GO:0007097]; nuclear migration along microtubule [GO:0030473]	GO:0000070; GO:0000132; GO:0000235; GO:0000741; GO:0005524; GO:0005737; GO:0005816; GO:0005868; GO:0005881; GO:0005938; GO:0007052; GO:0007097; GO:0008569; GO:0016887; GO:0030473; GO:0031122; GO:0040001; GO:0045505; GO:0051959
4932.YNR016C	Q00955	ACAC_YEAST	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	acetyl-CoA carboxylase complex [GO:0009317]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; mitochondrion [GO:0005739]; acetyl-CoA binding [GO:1905502]; acetyl-CoA carboxylase activity [GO:0003989]; ATP binding [GO:0005524]; biotin carboxylase activity [GO:0004075]; carboxyl- or carbamoyltransferase activity [GO:0016743]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; protein homodimerization activity [GO:0042803]; acetyl-CoA biosynthetic process [GO:0006085]; fatty acid biosynthetic process [GO:0006633]; long-chain fatty acid biosynthetic process [GO:0042759]; malonyl-CoA biosynthetic process [GO:2001295]; protein import into nucleus [GO:0006606]	GO:0003989; GO:0004075; GO:0005524; GO:0005739; GO:0005789; GO:0005829; GO:0006085; GO:0006606; GO:0006633; GO:0009317; GO:0016743; GO:0042759; GO:0042802; GO:0042803; GO:0046872; GO:1905502; GO:2001295
4932.YKL203C	P32600	TOR2_YEAST	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	cytoplasm [GO:0005737]; fungal-type vacuole membrane [GO:0000329]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; TOR complex [GO:0038201]; TORC1 complex [GO:0031931]; TORC2 complex [GO:0031932]; 1-phosphatidylinositol 4-kinase activity [GO:0004430]; 3-phosphoinositide-dependent protein kinase activity [GO:0004676]; AMP-activated protein kinase activity [GO:0004679]; ATP binding [GO:0005524]; DNA-dependent protein kinase activity [GO:0004677]; eukaryotic translation initiation factor 2alpha kinase activity [GO:0004694]; histone H2AS1 kinase activity [GO:0044024]; histone H2AS121 kinase activity [GO:0072371]; histone H2AT120 kinase activity [GO:1990244]; histone H2AXS139 kinase activity [GO:0035979]; histone H2BS14 kinase activity [GO:0044025]; histone H2BS36 kinase activity [GO:0140823]; histone H3S10 kinase activity [GO:0035175]; histone H3S28 kinase activity [GO:0044022]; histone H3S57 kinase activity [GO:0140855]; histone H3T11 kinase activity [GO:0035402]; histone H3T3 kinase activity [GO:0072354]; histone H3T45 kinase activity [GO:0140857]; histone H3T6 kinase activity [GO:0035403]; histone H4S1 kinase activity [GO:0044023]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein-containing complex binding [GO:0044877]; Rho-dependent protein serine/threonine kinase activity [GO:0072518]; ribosomal protein S6 kinase activity [GO:0004711]; cellular response to nitrogen starvation [GO:0006995]; cytoskeleton organization [GO:0007010]; establishment or maintenance of actin cytoskeleton polarity [GO:0030950]; negative regulation of autophagy [GO:0010507]; negative regulation of macroautophagy [GO:0016242]; positive regulation of endocytosis [GO:0045807]; positive regulation of Rho protein signal transduction [GO:0035025]; regulation of cell cycle [GO:0051726]; regulation of cell growth [GO:0001558]; regulation of snRNA pseudouridine synthesis [GO:1905356]; response to nutrient [GO:0007584]; ribosome biogenesis [GO:0042254]; TOR signaling [GO:0031929]; TORC1 signaling [GO:0038202]	GO:0000329; GO:0001558; GO:0004430; GO:0004674; GO:0004676; GO:0004677; GO:0004679; GO:0004694; GO:0004711; GO:0005524; GO:0005634; GO:0005737; GO:0005739; GO:0005886; GO:0006995; GO:0007010; GO:0007584; GO:0010507; GO:0016242; GO:0030950; GO:0031929; GO:0031931; GO:0031932; GO:0035025; GO:0035175; GO:0035402; GO:0035403; GO:0035979; GO:0038201; GO:0038202; GO:0042254; GO:0044022; GO:0044023; GO:0044024; GO:0044025; GO:0044877; GO:0045807; GO:0051726; GO:0072354; GO:0072371; GO:0072518; GO:0106310; GO:0140823; GO:0140855; GO:0140857; GO:1905356; GO:1990244
4932.YJR066W	P35169	TOR1_YEAST	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	cytoplasm [GO:0005737]; endosome membrane [GO:0010008]; fungal-type vacuole membrane [GO:0000329]; Golgi membrane [GO:0000139]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; TOR complex [GO:0038201]; TORC1 complex [GO:0031931]; 3-phosphoinositide-dependent protein kinase activity [GO:0004676]; AMP-activated protein kinase activity [GO:0004679]; ATP binding [GO:0005524]; DNA-dependent protein kinase activity [GO:0004677]; eukaryotic translation initiation factor 2alpha kinase activity [GO:0004694]; histone H2AS1 kinase activity [GO:0044024]; histone H2AS121 kinase activity [GO:0072371]; histone H2AT120 kinase activity [GO:1990244]; histone H2AXS139 kinase activity [GO:0035979]; histone H2BS14 kinase activity [GO:0044025]; histone H2BS36 kinase activity [GO:0140823]; histone H3S10 kinase activity [GO:0035175]; histone H3S28 kinase activity [GO:0044022]; histone H3S57 kinase activity [GO:0140855]; histone H3T11 kinase activity [GO:0035402]; histone H3T3 kinase activity [GO:0072354]; histone H3T45 kinase activity [GO:0140857]; histone H3T6 kinase activity [GO:0035403]; histone H4S1 kinase activity [GO:0044023]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein-containing complex binding [GO:0044877]; Rho-dependent protein serine/threonine kinase activity [GO:0072518]; ribosomal protein S6 kinase activity [GO:0004711]; cellular response to heat [GO:0034605]; cellular response to nitrogen starvation [GO:0006995]; cellular response to oxidative stress [GO:0034599]; DNA damage response [GO:0006974]; fungal-type cell wall organization [GO:0031505]; meiotic cell cycle [GO:0051321]; mitochondria-nucleus signaling pathway [GO:0031930]; negative regulation of autophagy [GO:0010507]; negative regulation of macroautophagy [GO:0016242]; nucleolar large rRNA transcription by RNA polymerase I [GO:0042790]; protein phosphorylation [GO:0006468]; regulation of cell cycle [GO:0051726]; regulation of cell growth [GO:0001558]; regulation of snRNA pseudouridine synthesis [GO:1905356]; regulation of sphingolipid biosynthetic process [GO:0090153]; response to endoplasmic reticulum stress [GO:0034976]; response to nutrient [GO:0007584]; ribosome biogenesis [GO:0042254]; TOR signaling [GO:0031929]; TORC1 signaling [GO:0038202]; translational initiation [GO:0006413]	GO:0000139; GO:0000329; GO:0001558; GO:0004672; GO:0004674; GO:0004676; GO:0004677; GO:0004679; GO:0004694; GO:0004711; GO:0005524; GO:0005634; GO:0005737; GO:0005886; GO:0006413; GO:0006468; GO:0006974; GO:0006995; GO:0007584; GO:0010008; GO:0010507; GO:0016242; GO:0031505; GO:0031929; GO:0031930; GO:0031931; GO:0034599; GO:0034605; GO:0034976; GO:0035175; GO:0035402; GO:0035403; GO:0035979; GO:0038201; GO:0038202; GO:0042254; GO:0042790; GO:0044022; GO:0044023; GO:0044024; GO:0044025; GO:0044877; GO:0051321; GO:0051726; GO:0072354; GO:0072371; GO:0072518; GO:0090153; GO:0106310; GO:0140823; GO:0140855; GO:0140857; GO:1905356; GO:1990244
4932.YMR207C	P32874	HFA1_YEAST	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	cytoplasm [GO:0005737]; mitochondrion [GO:0005739]; acetyl-CoA carboxylase activity [GO:0003989]; ATP binding [GO:0005524]; biotin carboxylase activity [GO:0004075]; metal ion binding [GO:0046872]; fatty acid biosynthetic process [GO:0006633]; long-chain fatty acid biosynthetic process [GO:0042759]; malonyl-CoA biosynthetic process [GO:2001295]	GO:0003989; GO:0004075; GO:0005524; GO:0005737; GO:0005739; GO:0006633; GO:0042759; GO:0046872; GO:2001295
4932.YGL206C	P22137	CLH_YEAST	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	actin cortical patch [GO:0030479]; clathrin coat of coated pit [GO:0030132]; clathrin coat of trans-Golgi network vesicle [GO:0030130]; clathrin complex [GO:0071439]; clathrin vesicle coat [GO:0030125]; cytosol [GO:0005829]; clathrin light chain binding [GO:0032051]; structural molecule activity [GO:0005198]; clathrin coat assembly [GO:0048268]; cortical actin cytoskeleton organization [GO:0030866]; endocytosis [GO:0006897]; Golgi to endosome transport [GO:0006895]; intracellular protein transport [GO:0006886]; receptor-mediated endocytosis [GO:0006898]	GO:0005198; GO:0005829; GO:0006886; GO:0006895; GO:0006897; GO:0006898; GO:0030125; GO:0030130; GO:0030132; GO:0030479; GO:0030866; GO:0032051; GO:0048268; GO:0071439
4932.YNL262W	P21951	DPOE_YEAST	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	epsilon DNA polymerase complex [GO:0008622]; nuclear replication fork [GO:0043596]; nucleus [GO:0005634]; replication fork [GO:0005657]; 4 iron, 4 sulfur cluster binding [GO:0051539]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; double-stranded DNA binding [GO:0003690]; mRNA binding [GO:0003729]; nucleotide binding [GO:0000166]; single-stranded DNA 3'-5' DNA exonuclease activity [GO:0008310]; single-stranded DNA binding [GO:0003697]; SUMO binding [GO:0032183]; zinc ion binding [GO:0008270]; base-excision repair [GO:0006284]; base-excision repair, gap-filling [GO:0006287]; DNA replication proofreading [GO:0045004]; DNA-templated DNA replication [GO:0006261]; double-strand break repair [GO:0006302]; double-strand break repair via nonhomologous end joining [GO:0006303]; error-prone translesion synthesis [GO:0042276]; gene conversion [GO:0035822]; leading strand elongation [GO:0006272]; mitotic cell cycle [GO:0000278]; mitotic DNA replication checkpoint signaling [GO:0033314]; mitotic intra-S DNA damage checkpoint signaling [GO:0031573]; mitotic sister chromatid cohesion [GO:0007064]; nucleotide-excision repair, DNA gap filling [GO:0006297]	GO:0000166; GO:0000278; GO:0003677; GO:0003690; GO:0003697; GO:0003729; GO:0003887; GO:0005634; GO:0005657; GO:0006261; GO:0006272; GO:0006284; GO:0006287; GO:0006297; GO:0006302; GO:0006303; GO:0007064; GO:0008270; GO:0008310; GO:0008622; GO:0031573; GO:0032183; GO:0033314; GO:0035822; GO:0042276; GO:0043596; GO:0045004; GO:0051539
