,human_protein,jaccard_similarity
0,A2PYH4,0.5384615384615384
1,A2RTX5,0.3333333333333333
2,A5YKK6,0.027777777777777776
3,O00160,0.15
4,O00203,0.019230769230769232
5,O00231,0.19047619047619047
6,O00232,0.09523809523809523
7,O00267,0.08333333333333333
8,O00400,0.058823529411764705
9,O00410,0.34782608695652173
10,O00411,0.034482758620689655
11,O00429,0.12
12,O00487,0.0967741935483871
13,O00506,0.038461538461538464
14,O00541,0.3888888888888889
15,O00567,0.19047619047619047
16,O00763,0.1388888888888889
17,O14617,0.0
18,O14646,0.38095238095238093
19,O14744,0.05454545454545454
20,O14775,0.10714285714285714
21,O14802,0.2962962962962963
22,O14818,0.3333333333333333
23,O14841,0.15384615384615385
24,O14939,0.0
25,O14975,0.16129032258064516
26,O14980,0.15151515151515152
27,O14981,0.10526315789473684
28,O14983,0.043478260869565216
29,O15056,0.1111111111111111
30,O15067,0.19047619047619047
31,O15118,0.03571428571428571
32,O15160,0.21052631578947367
33,O15213,0.23076923076923078
34,O15229,0.07142857142857142
35,O15269,0.0
36,O15270,0.0
37,O15305,0.045454545454545456
38,O15379,0.04411764705882353
39,O15381,0.18181818181818182
40,O15439,0.043478260869565216
41,O15457,0.25
42,O15523,0.375
43,O15530,0.10144927536231885
44,O43143,0.14285714285714285
45,O43172,0.041666666666666664
46,O43196,0.13333333333333333
47,O43242,0.08695652173913043
48,O43426,0.05128205128205128
49,O43520,0.10256410256410256
50,O43660,0.1
51,O43681,0.15
52,O43709,0.16666666666666666
53,O43747,0.046511627906976744
54,O43766,0.05263157894736842
55,O43776,0.15789473684210525
56,O43861,0.10526315789473684
57,O43933,0.13043478260869565
58,O60231,0.23809523809523808
59,O60264,0.09803921568627451
60,O60488,0.32142857142857145
61,O60508,0.125
62,O60524,0.1
63,O60673,0.047619047619047616
64,O60684,0.08
65,O60825,0.09523809523809523
66,O60832,0.14705882352941177
67,O60841,0.2222222222222222
68,O60884,0.15
69,O75027,0.22727272727272727
70,O75083,0.02702702702702703
71,O75191,0.11764705882352941
72,O75312,0.09302325581395349
73,O75351,0.10344827586206896
74,O75390,0.3333333333333333
75,O75439,0.0625
76,O75460,0.1076923076923077
77,O75533,0.09375
78,O75643,0.10714285714285714
79,O75691,0.09090909090909091
80,O75844,0.030303030303030304
81,O75845,0.125
82,O75874,0.3103448275862069
83,O76031,0.12
84,O76071,0.0625
85,O94808,0.05555555555555555
86,O94906,0.030303030303030304
87,O94973,0.03225806451612903
88,O94979,0.07692307692307693
89,O95155,0.10526315789473684
90,O95163,0.2
91,O95347,0.2222222222222222
92,O95352,0.05555555555555555
93,O95363,0.1875
94,O95373,0.19047619047619047
95,O95394,0.1111111111111111
96,O95396,0.23809523809523808
97,O95427,0.23076923076923078
98,O95470,0.0
99,O95478,0.15384615384615385
100,O95486,0.045454545454545456
101,O95487,0.0
102,O95602,0.07692307692307693
103,O95759,0.0
104,P00156,0.13793103448275862
105,P00352,0.10714285714285714
106,P00390,0.1
107,P00395,0.13043478260869565
108,P00414,0.125
109,P00480,0.06896551724137931
110,P00491,0.05405405405405406
111,P00505,0.07407407407407407
