Yeast_STRING_ID	Human_STRING_ID	BitScore
4932.YLR438W	9606.ENSP00000357838	413.7
4932.YLR044C	9606.ENSP00000323811	98.6
4932.YOR303W	9606.ENSP00000264705	364.4
4932.YOL039W	9606.ENSP00000431240	104.0
4932.YOR386W	9606.ENSP00000478187	113.2
4932.YFL005W	9606.ENSP00000312734	230.3
4932.YKL211C	9606.ENSP00000419851	61.2
4932.YNL090W	9606.ENSP00000400175	203.8
4932.YDR226W	9606.ENSP00000499935	269.2
4932.YDR172W	9606.ENSP00000398131	531.2
4932.YGR192C	9606.ENSP00000380070	455.7
4932.YJR052W	9606.ENSP00000264658	53.1
4932.YOR187W	9606.ENSP00000322439	516.9
4932.YDR204W	9606.ENSP00000300452	166.0
4932.YGR088W	9606.ENSP00000241052	373.6
4932.YNL098C	9606.ENSP00000256196	221.5
4932.YDL159W	9606.ENSP00000302486	225.7
4932.YDR224C	9606.ENSP00000321744	181.0
4932.YBL003C	9606.ENSP00000358155	194.1
4932.YPL078C	9606.ENSP00000358737	55.1
4932.YBR118W	9606.ENSP00000339063	771.5
4932.YJR109C	9606.ENSP00000264705	1128.6
4932.YLR310C	9606.ENSP00000384675	167.5
4932.YAL038W	9606.ENSP00000339933	491.5
4932.YBR019C	9606.ENSP00000483375	370.9
4932.Q0065	9606.ENSP00000354499	321.6
4932.YJR073C	9606.ENSP00000255389	167.9
4932.YAL024C	9606.ENSP00000405963	82.8
4932.YMR042W	9606.ENSP00000265354	105.9
4932.Q0250	9606.ENSP00000354876	200.7
4932.YDR023W	9606.ENSP00000358939	409.1
4932.YGL008C	9606.ENSP00000397925	230.3
4932.YFL037W	9606.ENSP00000341289	737.6
4932.YJL130C	9606.ENSP00000264705	2186.0
4932.YBR115C	9606.ENSP00000205214	79.7
4932.YJR121W	9606.ENSP00000262030	756.5
4932.YBR009C	9606.ENSP00000244537	193.7
4932.YFL045C	9606.ENSP00000268261	287.0
4932.YML061C	9606.ENSP00000328174	299.7
4932.YOR298C-A	9606.ENSP00000224073	122.1
4932.YBL099W	9606.ENSP00000381736	776.2
4932.YGL058W	9606.ENSP00000360613	234.6
4932.YGR204W	9606.ENSP00000498336	1078.5
4932.YGL187C	9606.ENSP00000258424	56.2
4932.YER086W	9606.ENSP00000339435	147.9
4932.YDL106C	9606.ENSP00000353132	56.6
4932.YGL234W	9606.ENSP00000371253	698.7
4932.YPR160W	9606.ENSP00000216392	776.5
4932.YBR189W	9606.ENSP00000375632	278.5
4932.YDL017W	9606.ENSP00000393139	167.5
4932.YDR392W	9606.ENSP00000360515	103.2
4932.YLL018C	9606.ENSP00000264161	560.5
4932.YBL045C	9606.ENSP00000203407	186.4
4932.YKL053C-A	9606.ENSP00000449795	55.5
4932.YDR173C	9606.ENSP00000331103	82.4
4932.YBR011C	9606.ENSP00000362329	305.4
