sp|Q6P2Q9|PRP8_HUMAN	sp|P33334|PRP8_YEAST	62.473	2321	3059	0.0
sp|P27708|PYR1_HUMAN	sp|P07259|PYR1_YEAST	49.956	2282	2185	0.0
sp|P27708|PYR1_HUMAN	sp|P03965|CARB_YEAST	54.264	1067	1128	0.0
sp|P27708|PYR1_HUMAN	sp|P07258|CARA_YEAST	47.967	369	364	1.09e-113
sp|P27708|PYR1_HUMAN	sp|P32874|HFA1_YEAST	23.288	219	68.2	3.47e-12
sp|P27708|PYR1_HUMAN	sp|P05150|OTC_YEAST	20.755	318	58.9	9.00e-10
sp|P27708|PYR1_HUMAN	sp|Q00955|ACAC_YEAST	21.461	219	57.8	4.68e-09
sp|P27708|PYR1_HUMAN	sp|P11154|PYC1_YEAST	21.587	315	53.1	1.18e-07
sp|P27708|PYR1_HUMAN	sp|P32327|PYC2_YEAST	22.727	242	52.4	2.06e-07
sp|P27708|PYR1_HUMAN	sp|P32528|DUR1_YEAST	20.109	184	51.6	3.93e-07
sp|P27708|PYR1_HUMAN	sp|P32528|DUR1_YEAST	20.261	306	51.2	5.55e-07
sp|Q9NU22|MDN1_HUMAN	sp|Q12019|MDN1_YEAST	40.778	2158	1543	0.0
sp|Q9NU22|MDN1_HUMAN	sp|Q12019|MDN1_YEAST	31.256	1027	358	1.58e-99
sp|Q9NU22|MDN1_HUMAN	sp|Q12019|MDN1_YEAST	27.736	923	246	1.69e-65
sp|Q9NU22|MDN1_HUMAN	sp|Q12019|MDN1_YEAST	21.922	1072	179	2.57e-45
sp|Q9NU22|MDN1_HUMAN	sp|Q12019|MDN1_YEAST	24.961	645	149	3.07e-36
sp|Q9NU22|MDN1_HUMAN	sp|Q12019|MDN1_YEAST	24.153	708	138	7.51e-33
sp|Q9NU22|MDN1_HUMAN	sp|Q12019|MDN1_YEAST	42.735	117	79.7	3.99e-15
sp|Q9NU22|MDN1_HUMAN	sp|Q12019|MDN1_YEAST	23.517	489	76.6	2.71e-14
sp|Q9NU22|MDN1_HUMAN	sp|Q12019|MDN1_YEAST	40.385	104	68.6	8.80e-12
sp|Q9NU22|MDN1_HUMAN	sp|Q12019|MDN1_YEAST	31.000	100	52.8	4.29e-07
sp|Q14204|DYHC1_HUMAN	sp|P36022|DYHC_YEAST	29.785	3814	1861	0.0
sp|Q14204|DYHC1_HUMAN	sp|P36022|DYHC_YEAST	26.452	310	105	4.27e-23
sp|O00763|ACACB_HUMAN	sp|Q00955|ACAC_YEAST	46.085	2248	1905	0.0
sp|O00763|ACACB_HUMAN	sp|P32874|HFA1_YEAST	42.986	2210	1742	0.0
sp|O00763|ACACB_HUMAN	sp|P32327|PYC2_YEAST	31.569	510	214	3.70e-57
sp|O00763|ACACB_HUMAN	sp|P32528|DUR1_YEAST	28.302	530	208	9.04e-55
sp|O00763|ACACB_HUMAN	sp|P11154|PYC1_YEAST	31.128	514	194	7.84e-51
sp|O00763|ACACB_HUMAN	sp|P03965|CARB_YEAST	24.020	204	58.5	2.67e-09
sp|P42345|MTOR_HUMAN	sp|P32600|TOR2_YEAST	43.490	2235	1713	0.0
sp|P42345|MTOR_HUMAN	sp|P32600|TOR2_YEAST	35.216	301	169	9.97e-43
sp|P42345|MTOR_HUMAN	sp|P35169|TOR1_YEAST	41.685	2231	1687	0.0
sp|P42345|MTOR_HUMAN	sp|P35169|TOR1_YEAST	32.197	264	132	1.04e-31
sp|P42345|MTOR_HUMAN	sp|P38110|ATM_YEAST	30.890	382	167	3.52e-42
sp|P42345|MTOR_HUMAN	sp|P38111|ATR_YEAST	32.982	285	165	1.22e-41
sp|P42345|MTOR_HUMAN	sp|P38111|ATR_YEAST	43.636	55	49.7	1.74e-06
sp|P42345|MTOR_HUMAN	sp|P22543|VPS34_YEAST	24.549	277	69.3	1.64e-12
sp|P42345|MTOR_HUMAN	sp|P38811|TRA1_YEAST	21.701	341	69.7	1.73e-12
sp|P42345|MTOR_HUMAN	sp|P37297|STT4_YEAST	41.096	73	60.5	8.25e-10
sp|Q13085|ACACA_HUMAN	sp|Q00955|ACAC_YEAST	44.910	2269	1887	0.0
sp|Q13085|ACACA_HUMAN	sp|P32874|HFA1_YEAST	43.381	2153	1744	0.0
sp|Q13085|ACACA_HUMAN	sp|P32327|PYC2_YEAST	32.258	496	221	3.83e-59
sp|Q13085|ACACA_HUMAN	sp|P32528|DUR1_YEAST	30.693	505	221	8.81e-59
sp|Q13085|ACACA_HUMAN	sp|P11154|PYC1_YEAST	30.523	593	202	3.19e-53
sp|Q13085|ACACA_HUMAN	sp|P03965|CARB_YEAST	24.121	199	62.4	1.72e-10
sp|Q13085|ACACA_HUMAN	sp|P07259|PYR1_YEAST	20.574	209	56.2	1.79e-08
sp|Q00610|CLH1_HUMAN	sp|P22137|CLH_YEAST	49.818	1652	1652	0.0
sp|Q07864|DPOE1_HUMAN	sp|P21951|DPOE_YEAST	43.192	1961	1546	0.0
