From	To
D6VTK4	4932.YFL026W
O13297	4932.YPL228W
O13329	4932.YDR110W
O13516	4932.YPL081W
O13525	4932.YDR204W
O13539	4932.YHR167W
O13547	4932.YLR390W-A
O13563	4932.YLR421C
O14467	4932.YOR298C-A
O60200	4932.YKL053C-A
O74700	4932.YEL020W-A
O94742	4932.YDR363W-A
P00044	4932.YJR048W
P00127	4932.YFR033C
P00128	4932.YDR529C
P00163	4932.Q0105
P00175	4932.YML054C
P00330	4932.YOL086C
P00331	4932.YMR303C
P00358	4932.YJR009C
P00359	4932.YGR192C
P00360	4932.YJL052W
P00401	4932.Q0045
P00410	4932.Q0250
P00420	4932.Q0275
P00424	4932.YNL052W
P00431	4932.YKR066C
P00445	4932.YJR104C
P00546	4932.YBR160W
P00549	4932.YAL038W
P00560	4932.YCR012W
P00572	4932.YJR057W
P00635	4932.YBR093C
P00724	4932.YIL162W
P00729	4932.YMR297W
P00812	4932.YPL111W
P00815	4932.YCL030C
P00817	4932.YBR011C
P00830	4932.YJR121W
P00854	4932.Q0085
P00890	4932.YNR001C
P00924	4932.YGR254W
P00925	4932.YHR174W
P00927	4932.YER086W
P00937	4932.YKL211C
P00942	4932.YDR050C
P00950	4932.YKL152C
P00958	4932.YGR264C
P01094	4932.YMR174C
P01119	4932.YOR101W
P01120	4932.YNL098C
P01123	4932.YFL038C
P02293	4932.YDR224C
P02294	4932.YBL002W
P02309	4932.YBR009C
P02400	4932.YDR382W
P02406	4932.YGL103W
P02557	4932.YFL037W
P02829	4932.YPL240C
P02992	4932.YOR187W
P02994	4932.YBR118W
P03069	4932.YEL009C
P03873	4932.Q0110
P03877	4932.Q0060
P03878	4932.Q0065
P03879	4932.Q0120
P03962	4932.YEL021W
P03965	4932.YJR109C
P04037	4932.YGL187C
P04039	4932.YLR395C
P04050	4932.YDL140C
P04051	4932.YOR116C
P04147	4932.YER165W
P04385	4932.YBR020W
P04386	4932.YPL248C
P04387	4932.YML051W
P04397	4932.YBR019C
P04449	4932.YGL031C
P04456	4932.YOL127W
P04710	4932.YMR056C
P04786	4932.YOL006C
P04802	4932.YLL018C
P04806	4932.YFR053C
P04807	4932.YGL253W
P04817	4932.YEL063C
P04819	4932.YDL164C
P04821	4932.YLR310C
P04840	4932.YNL055C
P04911	4932.YDR225W
P04912	4932.YBL003C
P05030	4932.YGL008C
P05066	4932.YOR386W
P05150	4932.YJL088W
P05317	4932.YLR340W
P05318	4932.YDL081C
P05319	4932.YOL039W
P05373	4932.YGL040C
P05374	4932.YGR157W
P05375	4932.YJR073C
P05453	4932.YDR172W
P05626	4932.YPL078C
P05737	4932.YGL076C
P05739	4932.YLR448W
P05740	4932.YKL180W
P05744	4932.YPL143W
P05745	4932.YMR194W
P05748	4932.YLR029C
P05750	4932.YNL178W
P05755	4932.YBR189W
P05756	4932.YDR064W
P05759	4932.YLR167W
P05986	4932.YKL166C
P06100	4932.YDL165W
P06101	4932.YDR168W
P06102	4932.YIL038C
P06103	4932.YOR361C
P06104	4932.YGL058W
P06105	4932.YJL080C
P06106	4932.YLR303W
P06115	4932.YGR088W
