Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)	Gene Ontology IDs
A0A0B7P3V8	reviewed	YP41B_YEAST	Transposon Ty4-P Gag-Pol polyprotein (TY4A-TY4B) (Transposon Ty4 TYA-TYB polyprotein) [Includes: Capsid protein (CA); Ty4 protease (PR) (EC 3.4.23.-); Integrase (IN); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4)]	TY4B-P YPLCTy4-1 POL YPL060C-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1104	cytoplasm [GO:0005737]; nucleus [GO:0005634]; aspartic-type endopeptidase activity [GO:0004190]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; RNA binding [GO:0003723]; RNA-DNA hybrid ribonuclease activity [GO:0004523]; telomerase activity [GO:0003720]; zinc ion binding [GO:0008270]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]; proteolysis [GO:0006508]; transposition [GO:0032196]	GO:0003677; GO:0003720; GO:0003723; GO:0003887; GO:0004190; GO:0004523; GO:0005524; GO:0005634; GO:0005737; GO:0006310; GO:0006508; GO:0008270; GO:0015074; GO:0032196
D6VTK4	reviewed	STE2_YEAST	Pheromone alpha factor receptor	STE2 YFL026W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	431	G protein-coupled receptor homodimeric complex [GO:0038038]; plasma membrane [GO:0005886]; mating-type alpha-factor pheromone receptor activity [GO:0004934]; mating-type factor pheromone receptor activity [GO:0004932]; cytogamy [GO:0000755]; pheromone-dependent signal transduction involved in conjugation with cellular fusion [GO:0000750]	GO:0000750; GO:0000755; GO:0004932; GO:0004934; GO:0005886; GO:0038038
O13297	reviewed	CET1_YEAST	mRNA-capping enzyme subunit beta (EC 3.6.1.74) (mRNA 5'-phosphatase) (mRNA 5'-triphosphate monophosphatase)	CET1 YPL228W P1433	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	549	mRNA capping enzyme complex [GO:0031533]; mRNA 5'-triphosphate monophosphatase activity [GO:0140818]; polynucleotide 5'-phosphatase activity [GO:0004651]; 7-methylguanosine mRNA capping [GO:0006370]; positive regulation of protein localization to nucleus [GO:1900182]; positive regulation of transcription elongation by RNA polymerase II [GO:0032968]	GO:0004651; GO:0006370; GO:0031533; GO:0032968; GO:0140818; GO:1900182
O13329	reviewed	FOB1_YEAST	DNA replication fork-blocking protein FOB1	FOB1 HRM1 YDR110W YD9727.06	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	566	nucleolus [GO:0005730]; rDNA heterochromatin [GO:0033553]; rDNA spacer replication fork barrier binding [GO:0043110]; zinc ion binding [GO:0008270]; chromatin organization [GO:0006325]; chromosome segregation [GO:0007059]; DNA recombination [GO:0006310]; maintenance of DNA repeat elements [GO:0043570]; maintenance of rDNA [GO:0043007]; negative regulation of DNA replication [GO:0008156]; positive regulation of DNA recombination [GO:0045911]; protein localization to nucleolar rDNA repeats [GO:0034503]; rDNA chromatin condensation [GO:0070550]; rDNA heterochromatin formation [GO:0000183]; replication fork arrest at rDNA repeats [GO:0031582]	GO:0000183; GO:0005730; GO:0006310; GO:0006325; GO:0007059; GO:0008156; GO:0008270; GO:0031582; GO:0033553; GO:0034503; GO:0043007; GO:0043110; GO:0043570; GO:0045911; GO:0070550
O13516	reviewed	RS9A_YEAST	Small ribosomal subunit protein uS4A (40S ribosomal protein S9-A) (RP21) (S13) (YP28) (YS11)	RPS9A RPS13A YS11A YPL081W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	197	90S preribosome [GO:0030686]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; small-subunit processome [GO:0032040]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; ribosomal small subunit biogenesis [GO:0042274]; translation [GO:0006412]	GO:0000462; GO:0003735; GO:0005654; GO:0005730; GO:0005737; GO:0005829; GO:0006412; GO:0019843; GO:0022627; GO:0030686; GO:0032040; GO:0042274
O13525	reviewed	COQ4_YEAST	Ubiquinone biosynthesis protein COQ4, mitochondrial (4-hydroxy-3-methoxy-5-polyprenylbenzoate decarboxylase) (EC 4.1.1.-) (Coenzyme Q biosynthesis protein 4)	COQ4 YDR204W YD8142.01	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	335	extrinsic component of mitochondrial inner membrane [GO:0031314]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; ubiquinone biosynthetic process [GO:0006744]	GO:0005739; GO:0005743; GO:0006744; GO:0031314
O13527	reviewed	YA11B_YEAST	Truncated transposon Ty1-A Gag-Pol polyprotein (TY1B) (Transposon Ty1 TYB polyprotein) [Cleaved into: Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]	TY1B-A YARCTy1-1 POL YAR009C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1196	cytoplasm [GO:0005737]; nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]; RNA-DNA hybrid ribonuclease activity [GO:0004523]; telomerase activity [GO:0003720]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]; transposition [GO:0032196]	GO:0003677; GO:0003720; GO:0003723; GO:0003887; GO:0004523; GO:0005634; GO:0005737; GO:0006310; GO:0015074; GO:0032196; GO:0046872
O13535	reviewed	YH11B_YEAST	Transposon Ty1-H Gag-Pol polyprotein (Gag-Pol-p199) (TY1A-TY1B) (Transposon Ty1 TYA-TYB polyprotein) (p190) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Ty1 protease (PR) (EC 3.4.23.-) (Pol-p20) (p23); Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]	TY1B-H YHRCTy1-1 POL YHR214C-B	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1793	cytoplasm [GO:0005737]; nucleus [GO:0005634]; aspartic-type endopeptidase activity [GO:0004190]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; RNA binding [GO:0003723]; RNA-DNA hybrid ribonuclease activity [GO:0004523]; telomerase activity [GO:0003720]; zinc ion binding [GO:0008270]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]; proteolysis [GO:0006508]; transposition [GO:0032196]; viral translational frameshifting [GO:0075523]	GO:0003677; GO:0003720; GO:0003723; GO:0003887; GO:0004190; GO:0004523; GO:0005524; GO:0005634; GO:0005737; GO:0006310; GO:0006508; GO:0008270; GO:0015074; GO:0032196; GO:0075523
O13539	reviewed	THP2_YEAST	THO complex subunit THP2	THP2 YHR167W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	261	nucleoplasmic THO complex [GO:0000446]; THO complex [GO:0000347]; THO complex part of transcription export complex [GO:0000445]; transcription export complex [GO:0000346]; nucleic acid binding [GO:0003676]; cellular response to azide [GO:0097185]; DNA recombination [GO:0006310]; mRNA export from nucleus [GO:0006406]; stress granule assembly [GO:0034063]; transcription elongation by RNA polymerase II [GO:0006368]	GO:0000346; GO:0000347; GO:0000445; GO:0000446; GO:0003676; GO:0006310; GO:0006368; GO:0006406; GO:0034063; GO:0097185
O13547	reviewed	CCW14_YEAST	Covalently-linked cell wall protein 14 (Inner cell wall protein)	CCW14 ICWP SSR1 YLR390W-A YLR391W-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	238	cell periphery [GO:0071944]; extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]; mitochondrion [GO:0005739]; side of membrane [GO:0098552]; structural constituent of cell wall [GO:0005199]; fungal-type cell wall organization [GO:0031505]	GO:0005199; GO:0005576; GO:0005739; GO:0009277; GO:0031505; GO:0071944; GO:0098552
